path	variant	rule
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-class.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-class.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-const.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-const.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-let.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/fn-scope-var-name-redeclaration-attempt-with-let.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-declaration-attempt-to-redeclare-with-var-declaration-nested-in-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-declaration-attempt-to-redeclare-with-var-declaration-nested-in-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-async-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-async-generator.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-async-generator.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-const.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-const.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-let.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-let.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-var.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/function-name-redeclaration-attempt-with-var.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/generator-name-redeclaration-attempt-with-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/generator-name-redeclaration-attempt-with-async-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/generator-name-redeclaration-attempt-with-async-generator.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/generator-name-redeclaration-attempt-with-async-generator.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-async-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-async-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-async-generator.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-async-generator.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-class.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-class.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-const.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-const.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-function.js	sloppy	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-function.js	strict	lexical-binding.duplicate-declaration
test/language/block-scope/syntax/redeclaration/inner-block-var-redeclaration-attempt-after-let.js	sloppy	lexical-binding.duplicate-declaration
